ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
Rau Củ,Trà,15,89,311,0.003386004514672686,0.16853932584269662,2.4007370208461287,0.0019756024234518395
Thực Phẩm Đông Lạnh,Bánh Tươi,25,161,287,0.0056433408577878106,0.15527950310559005,2.3968229921873307,0.003288832045004051
"Bánh Bao, Bánh Giò, Há Cảo","Gạo, Bột, Đậu",21,152,256,0.004740406320541761,0.13815789473684212,2.390779194078948,0.0027576191471039343
Chăm Sóc Cơ Thể,Chăm Sóc Răng Miệng,467,702,1244,0.1054176072234763,0.6652421652421653,2.3689893826549775,0.06091862888473317
Chăm Sóc Răng Miệng,Chăm Sóc Cơ Thể,467,1244,702,0.1054176072234763,0.3754019292604502,2.3689893826549775,0.06091862888473317
Khô Chế Biến Sẵn,Cà Phê,42,191,417,0.009480812641083521,0.2198952879581152,2.3360578552864513,0.005422346101126629
Cà Phê,Khô Chế Biến Sẵn,42,417,191,0.009480812641083521,0.10071942446043165,2.3360578552864513,0.005422346101126629
Trái Cây,"Chả Giò, Cá Viên",19,133,274,0.004288939051918736,0.14285714285714285,2.3096976016684043,0.0024320123924198344
Trang Điểm,Cà Phê,10,46,417,0.002257336343115124,0.21739130434782608,2.3094567824001664,0.0012799046109789093
Sữa,Cà Phê,18,83,417,0.004063205417607223,0.21686746987951808,2.3038918262979977,0.002299578596578836
Thủy sản,Chăm Sóc Răng Miệng,91,141,1244,0.02054176072234763,0.6453900709219859,2.298294223620898,0.011603931739779565
"Muối, Đường","Bơ, Phô Mai",11,101,210,0.0024830699774266367,0.10891089108910891,2.297501178689297,0.001402300139108989
Khô Chế Biến Sẵn,Bữa Sáng,28,191,283,0.006320541760722348,0.14659685863874344,2.294784748302592,0.00356623473240628
Sữa,"Gạo, Bột, Đậu",11,83,256,0.0024830699774266367,0.13253012048192772,2.2933923192771086,0.0014003638235099288
"Pizza, Lẩu Đông Lạnh","Sốt, Gia Vị Các Loại",16,105,295,0.0036117381489841984,0.1523809523809524,2.288297013720743,0.0020333861573816935
Vệ Sinh,Chăm Sóc Răng Miệng,386,607,1244,0.08713318284424379,0.6359143327841845,2.264550236522458,0.048656146018578435
Chăm Sóc Răng Miệng,Vệ Sinh,386,1244,607,0.08713318284424379,0.3102893890675241,2.264550236522458,0.048656146018578435
Thịt Heo,Chăm Sóc Tóc,11,15,1449,0.0024830699774266367,0.7333333333333333,2.242005981136416,0.0013755484104377605
Dụng Cụ Học Sinh,Làm Sạch Cơ Thể,9,15,1189,0.0020316027088036117,0.6,2.2354920100925146,0.0011228082690867215
"Gạo, Bột, Đậu","Sốt, Gia Vị Các Loại",38,256,295,0.008577878103837472,0.1484375,2.2290783898305087,0.00472970562907327
"Sốt, Gia Vị Các Loại","Gạo, Bột, Đậu",38,295,256,0.008577878103837472,0.1288135593220339,2.2290783898305087,0.00472970562907327
"Hạt Nêm, Bột Ngọt",Đồ Uống,10,13,1531,0.002257336343115124,0.7692307692307693,2.2257951062653873,0.0012431655702704217
Trà,"Rong Biển, Bánh Tráng",49,311,315,0.011060948081264108,0.15755627009646303,2.21579135405502,0.006069075511212795
"Rong Biển, Bánh Tráng",Trà,49,315,311,0.011060948081264108,0.15555555555555556,2.21579135405502,0.006069075511212795
"Chả Giò, Cá Viên","Mì, Bún, Topokki Ăn Liền",251,274,1832,0.056659142212189616,0.916058394160584,2.2151412042201897,0.031081024616685944
"Mì, Bún, Topokki Ăn Liền","Chả Giò, Cá Viên",251,1832,274,0.056659142212189616,0.13700873362445415,2.2151412042201892,0.031081024616685944
Món Ăn Nhanh,"Sốt, Gia Vị Các Loại",23,156,295,0.005191873589164785,0.14743589743589744,2.2140373750543243,0.0028468934873553493
"Bánh Bao, Bánh Giò, Há Cảo","Hạt, Trái Cây Sấy",42,152,554,0.009480812641083521,0.27631578947368424,2.209528785863576,0.005189937273565724
Tẩy Trang,Làm Sạch Cơ Thể,16,27,1189,0.0036117381489841984,0.5925925925925926,2.2078933433012486,0.001975908157493796
Trang Điểm,Đồ Uống,35,46,1531,0.007900677200902935,0.7608695652173914,2.2016016811972854,0.004312072927760141
